timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699366763839,998,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-3,,true,,106222,1547,5,5,null,0,1,190
1699366763840,442,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,4491,821,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,442,0,190
1699366764282,556,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,101731,726,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,311,0,0
1699366765126,1540,login,200,,jp@gc - Ultimate Thread Group 1-5,,true,,118930,3709,5,5,null,0,0,0
1699366765127,859,login-11,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,9485,2110,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,560,0,0
1699366765127,560,login-11-0,302,Found,jp@gc - Ultimate Thread Group 1-5,text,true,,1786,1142,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,560,0,0
1699366765687,299,login-11-1,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,7699,968,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,299,0,0
1699366765986,293,login-13,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,7699,868,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,293,0,0
1699366766279,387,login-16,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,101746,731,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,270,0,0
1699366767068,868,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,106217,1547,4,4,null,0,1,199
1699366767069,453,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,4478,821,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,453,0,199
1699366767522,415,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,101739,726,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,299,0,0
1699366767119,900,open Web Page,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-2,,true,,106215,1547,4,4,null,0,2,279
1699366767120,528,open Web Page-9,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,4484,821,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/auth/login,528,0,279
1699366767649,372,open Web Page-10,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,101731,726,4,4,https://opensource-demo.orangehrmlive.com/web/index.php/core/i18n/messages,257,0,0
1699366763958,4689,login,200,,jp@gc - Ultimate Thread Group 1-4,,true,,393130,13653,4,4,null,0,0,0
1699366763959,833,login-11,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,9485,2105,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,560,0,0
1699366763959,560,login-11-0,302,Found,jp@gc - Ultimate Thread Group 1-4,text,true,,1786,1137,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/auth/validate,560,0,0
1699366764519,273,login-11-1,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,7699,968,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,273,0,0
1699366764792,466,login-13,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,7699,868,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/dashboard/index,466,0,0
